station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40800,Sedgwick,3/1/22,1939.4,1787.5,1011.8,55803
40710,Chicago/Franklin,3/1/22,2931.6,1988,1225.5,80280
40460,Merchandise Mart,3/1/22,2730,2021.3,911.3,74520
40930,Midway Airport,3/1/22,4027.9,2049.8,1668.8,107515
40960,Pulaski-Orange,3/1/22,2713.7,1160.3,885.5,70597
41150,Kedzie-Midway,3/1/22,1967,996.3,757.3,52256
40310,Western-Orange,3/1/22,1902,1042.8,807.8,51147
40120,35th/Archer,3/1/22,1473.7,739.5,571,39136
41060,Ashland-Orange,3/1/22,896.6,483.5,394,24131
41130,Halsted-Orange,3/1/22,1259,639.8,460.3,33357
40730,Washington/Wells,3/1/22,3200.7,751.5,481,78545
40040,Quincy/Wells,3/1/22,2844.7,965.3,835.8,72632
40160,LaSalle/Van Buren,3/1/22,1133.5,415.5,264.3,28790
40850,Library,3/1/22,2132.7,1183.3,914,57441
40680,Adams/Wabash,3/1/22,3230.7,1950.8,1505.8,88133
41700,Washington/Wabash,3/1/22,5141.5,3768.8,2729,144245
40260,State/Lake,3/1/22,5183.1,5071.5,3323.5,152791
40380,Clark/Lake,3/1/22,6736.2,4487.3,2864.3,184339
40900,Howard,4/1/22,2400.9,1809,1428.3,65177
41190,Jarvis,4/1/22,732.3,646.6,471.3,20497
40100,Morse,4/1/22,1968.6,1539.4,1173,53730
41300,Loyola,4/1/22,2513.4,2287.6,1498,70211
